titre,ville,code_postal,prix,surface,type_bien,pieces,url,prix_m2,latitude,longitude
"Appartement à vendre 2 pièces, 53 m2, vincennes (94), avenue de la république, 1er étage avec ascenseur, cave et au calme",Vincennes,94300,410000,53,Appartements,2,https://www.etreproprio.com/immobilier-22405234-vente-appartement-a-vendre-2-pieces-53-m2-vincennes-94-avenue-de-la-republique-1er-etage-avec-ascenseur-cave-et-au-calme-vincennes,7736,48.8474508,2.4396714
Appartement 55m² à vincennes,Vincennes,94300,537000,55,Appartements,3,https://www.etreproprio.com/immobilier-23862916-vente-appartement-55m-a-vincennes-vincennes,9764,48.8474508,2.4396714
Appartement vincennes 6 pièce(s) 146 m2,Vincennes,94300,1349000,146,Appartements,6,https://www.etreproprio.com/immobilier-23859335-vente-appartement-vincennes-6-pieces-146-m2-vincennes,9240,48.8474508,2.4396714
Appartement 60m² à vincennes,Vincennes,94300,450000,60,Appartements,3,https://www.etreproprio.com/immobilier-23851822-vente-appartement-60m-a-vincennes-vincennes,7500,48.8474508,2.4396714
Appartement 59m² à vincennes,Vincennes,94300,365000,59,Appartements,3,https://www.etreproprio.com/immobilier-23854047-vente-appartement-59m-a-vincennes-vincennes,6186,48.8474508,2.4396714
Appartement 83m² à vincennes,Vincennes,94300,745000,83,Appartements,3,https://www.etreproprio.com/immobilier-23847671-vente-appartement-83m-a-vincennes-vincennes,8976,48.8474508,2.4396714
Appartement 45m² à vincennes,Vincennes,94300,500000,46,Appartements,3,https://www.etreproprio.com/immobilier-23841188-vente-appartement-45m-a-vincennes-vincennes,10870,48.8474508,2.4396714
Appartement proche cours marigny et métro,Vincennes,94300,294000,30,Appartements,1,https://www.etreproprio.com/immobilier-23839800-vente-appartement-proche-cours-marigny-et-metro-vincennes,9800,48.8474508,2.4396714
Appartement 80m² à vincennes,Vincennes,94300,658000,80,Appartements,4,https://www.etreproprio.com/immobilier-23597343-vente-appartement-80m-a-vincennes-vincennes,8225,48.8474508,2.4396714
Appartement 43m² à vincennes,Vincennes,94300,325000,43,Appartements,2,https://www.etreproprio.com/immobilier-23845931-vente-appartement-43m-a-vincennes-vincennes,7558,48.8474508,2.4396714
Studio à vincennes,Vincennes,94300,140000,16,Appartements,1,https://www.etreproprio.com/immobilier-23845926-vente-studio-a-vincennes-vincennes,8750,48.8474508,2.4396714
Appartement 69m² à vincennes,Vincennes,94300,560000,69,Appartements,3,https://www.etreproprio.com/immobilier-23841189-vente-appartement-69m-a-vincennes-vincennes,8116,48.8474508,2.4396714
Appartement 4p -vincennes centre,Vincennes,94300,760000,77,Appartements,4,https://www.etreproprio.com/immobilier-23827101-vente-appartement-4p-vincennes-centre-vincennes,9870,48.8474508,2.4396714
Appartement 145m² à vincennes,Vincennes,94300,1350000,145,Appartements,5,https://www.etreproprio.com/immobilier-23831909-vente-appartement-145m-a-vincennes-vincennes,9310,48.8474508,2.4396714
Studio dans l'hyper-centre de vincennes,Vincennes,94300,300000,27,Appartements,1,https://www.etreproprio.com/immobilier-23834257-vente-studio-dans-l-hyper-centre-de-vincennes-vincennes,11111,48.8474508,2.4396714
Appartement 3 pièces 70 m2 - boulevard de la libération,Vincennes,94300,535000,69,Appartements,3,https://www.etreproprio.com/immobilier-23832989-vente-appartement-3-pieces-70-m2-boulevard-de-la-liberation-vincennes,7754,48.8474508,2.4396714
Commerce 30m² à vincennes,Vincennes,94300,39900,30,Commerces,,https://www.etreproprio.com/immobilier-23831538-vente-commerce-30m-a-vincennes-vincennes,1330,48.8474508,2.4396714
3 piéces  -vincennes,Vincennes,94300,429000,43,Appartements,3,https://www.etreproprio.com/immobilier-23808475-vente-3-pieces-vincennes-vincennes,9977,48.8474508,2.4396714
Appartement 50m² à vincennes,Vincennes,94300,400000,50,Appartements,3,https://www.etreproprio.com/immobilier-23821387-vente-appartement-50m-a-vincennes-vincennes,8000,48.8474508,2.4396714
Appartement,Vincennes,94300,610000,65,Appartements,3,https://www.etreproprio.com/immobilier-23814991-vente-appartement-vincennes,9385,48.8474508,2.4396714
Bel appartement f2 (f3 possible) vincennes centre: cachet et luminosite!,Vincennes,94300,430000,45,Appartements,2,https://www.etreproprio.com/immobilier-23824806-vente-bel-appartement-f2-f3-possible-vincennes-centre-cachet-et-luminosite-vincennes,9556,48.8474508,2.4396714
Chateau de vincennes,Vincennes,94300,470000,45,Appartements,2,https://www.etreproprio.com/immobilier-23806203-vente-chateau-de-vincennes-vincennes,10444,48.8474508,2.4396714
Au centre de vincennes,Vincennes,94300,339000,34,Appartements,3,https://www.etreproprio.com/immobilier-23808474-vente-au-centre-de-vincennes-vincennes,9971,48.8474508,2.4396714
Vincennes proche rer a– spacieux bureaux indépendants modulables 321m²,Vincennes,94300,1339000,291,Commerces,10,https://www.etreproprio.com/immobilier-23808506-vente-vincennes-proche-rer-a-spacieux-bureaux-independants-modulables-321m-vincennes,4601,48.8474508,2.4396714
Maison vincennes 6 pièce(s),Vincennes,94300,1380000,112,Maisons,6,https://www.etreproprio.com/immobilier-23809710-vente-maison-vincennes-6-pieces-vincennes,12321,48.8474508,2.4396714
4 pièces 72m2+ balcon + cave + local vélos,Vincennes,94300,690000,72,Appartements,4,https://www.etreproprio.com/immobilier-23812797-vente-4-pieces-72m2-balcon-cave-local-velos-vincennes,9583,48.8474508,2.4396714
Appartement 49m² à vincennes,Vincennes,94300,495000,49,Appartements,3,https://www.etreproprio.com/immobilier-23808476-vente-appartement-49m-a-vincennes-vincennes,10102,48.8474508,2.4396714
Maison familiale/ loft/immeuble,Vincennes,94300,2180000,226,Appartements,8,https://www.etreproprio.com/immobilier-23796340-vente-maison-familiale-loftimmeuble-vincennes,9646,48.8474508,2.4396714
Studio / 2-pièces 28.5 m2 - vincennes,Vincennes,94300,219000,29,Appartements,1,https://www.etreproprio.com/immobilier-23130787-vente-studio-2-pieces-285-m2-vincennes-vincennes,7552,48.8474508,2.4396714
Appartement vincennes 4 pièce(s) 89 m2,Vincennes,94300,835000,89,Appartements,4,https://www.etreproprio.com/immobilier-23799744-vente-appartement-vincennes-4-pieces-89-m2-vincennes,9382,48.8474508,2.4396714
Appartement 40m² à vincennes,Vincennes,94300,361000,40,Appartements,2,https://www.etreproprio.com/immobilier-23690844-vente-appartement-40m-a-vincennes-vincennes,9025,48.8474508,2.4396714
Appartement 41m² à vincennes,Vincennes,94300,292500,41,Appartements,2,https://www.etreproprio.com/immobilier-23783843-vente-appartement-41m-a-vincennes-vincennes,7134,48.8474508,2.4396714
Appartement vincennes 2 pièce(s) 45 m2,Vincennes,94300,430000,45,Appartements,2,https://www.etreproprio.com/immobilier-23762710-vente-appartement-vincennes-2-pieces-45-m2-vincennes,9556,48.8474508,2.4396714
Maison 75m² à vincennes,Vincennes,94300,749000,75,Maisons,4,https://www.etreproprio.com/immobilier-23765177-vente-maison-75m-a-vincennes-vincennes,9987,48.8474508,2.4396714
Appartement 19m² à vincennes,Vincennes,94300,188000,19,Appartements,1,https://www.etreproprio.com/immobilier-23768704-vente-appartement-19m-a-vincennes-vincennes,9895,48.8474508,2.4396714
